game,league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
DOTA,EPL World Series Southeast Asia Playoffs,2026-05-11,dota2-grind-carst-2026-05-11,Grind Back,Grind Back,Grind Back,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Playoffs,2026-05-11,dota2-pr1-modus-2026-05-11,Power Rangers,Power Rangers,Power Rangers,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Playoffs,2026-05-11,dota2-lynx-tm6-2026-05-11,Two Move,Two Move,Two Move,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Playoffs,2026-05-11,dota2-lynx-pr1-2026-05-11,Team Lynx,Power Rangers,Power Rangers,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-aur1-liquid-2026-05-13,Aurora,Team Liquid,Team Liquid,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-13,dota2-xtreme-playti-2026-05-13,Xtreme Gaming,Xtreme Gaming,Xtreme Gaming,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-ts8-vg-2026-05-13,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-flc-vp-2026-05-13,Virtus.pro,Team Falcons,Team Falcons,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-heroic2-gl-2026-05-13,ex-HEROIC,ex-HEROIC,ex-HEROIC,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-13,dota2-pari-tundra-2026-05-13,PARIVISION,Tundra Esports,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-ts8-liquid-2026-05-13,Team Spirit,Team Liquid,Team Spirit,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-gl-vg-2026-05-13,Vici Gaming,Vici Gaming,Vici Gaming,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-13,dota2-navi-ngx-2026-05-13,Natus Vincere,Natus Vincere,Natus Vincere,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-13,dota2-bb4-rnx-2026-05-13,BetBoom Team,BetBoom Team,BetBoom Team,2:0 横扫,否（无赛前价存档）
