game,league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
DOTA,DreamLeague Group B,2026-05-16,dota2-rnx-ngx-2026-05-16,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-17,dota2-ts8-heroic2-2026-05-17,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-17,dota2-liquid-vg-2026-05-17,Vici Gaming,Team Liquid,Team Liquid,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-17,dota2-aur1-vp-2026-05-17,Aurora,Virtus.pro,Aurora,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-17,dota2-xtreme-navi-2026-05-17,Natus Vincere,Natus Vincere,Natus Vincere,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-17,dota2-bb4-ngx-2026-05-17,BetBoom Team,BetBoom Team,BetBoom Team,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-17,dota2-tundra-playti-2026-05-17,PlayTime,Tundra Esports,Tundra Esports,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-17,dota2-pari-rnx-2026-05-17,PARIVISION,REKONIX,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-17,dota2-flc-gl-2026-05-17,GamerLegion,Team Falcons,Team Falcons,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-19,dota2-ts8-bb4-2026-05-19,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-19,dota2-navi-aur1-2026-05-19,Natus Vincere,Aurora,Aurora,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-19,dota2-pari-liquid-2026-05-19,PARIVISION,Team Liquid,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group A,2026-05-18,dota2-ns2-st1-2026-05-18,Stray Team,Team NS,Stray Team,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-18,dota2-tt1-miposh-2026-05-18,Miposhka Team,Miposhka Team,Miposhka Team,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-18,dota2-tt1-bot-2026-05-18,by Owl Team,by Owl Team,by Owl Team,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-19,dota2-flc-tundra-2026-05-19,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-19,dota2-tt1-st-2026-05-19,Travoman Team,SoloTeam,SoloTeam,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group A,2026-05-19,dota2-ns2-nix-2026-05-19,Nix Team,Team NS,Nix Team,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-19,dota2-st-bot-2026-05-19,by Owl Team,by Owl Team,by Owl Team,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-19,dota2-miposh-bot-2026-05-19,Miposhka Team,by Owl Team,Miposhka Team,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-20,dota2-tundra-vp-2026-05-20,Virtus.pro,Tundra Esports,Tundra Esports,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-20,dota2-bb4-vg-2026-05-20,BetBoom Team,Vici Gaming,BetBoom Team,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-20,dota2-liquid-xtreme-2026-05-20,Xtreme Gaming,Team Liquid,Xtreme Gaming,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-21,dota2-navi-playti-2026-05-21,Natus Vincere,PlayTime,PlayTime,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-21,dota2-flc-pari-2026-05-21,Team Falcons,PARIVISION,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-21,dota2-ts8-aur1-2026-05-21,Team Spirit,Aurora,Team Spirit,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group A,2026-05-20,dota2-nix-recren-2026-05-20,Recrent Team,Nix Team,Recrent Team,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group B,2026-05-21,dota2-miposh-st-2026-05-21,SoloTeam,SoloTeam,SoloTeam,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group A,2026-05-21,dota2-nix-st1-2026-05-21,Stray Team,Nix Team,Nix Team,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Group A,2026-05-21,dota2-st1-recren-2026-05-21,Recrent Team,Stray Team,Recrent Team,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-22,dota2-tundra-xtreme-2026-05-22,Tundra Esports,Xtreme Gaming,Tundra Esports,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-22,dota2-bb4-playti-2026-05-22,BetBoom Team,PlayTime,PlayTime,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-23,dota2-pari-ts8-2026-05-23,Team Spirit,PARIVISION,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-22,dota2-st1-st-2026-05-22,SoloTeam,Stray Team,SoloTeam,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-22,dota2-miposh-nix-2026-05-22,Nix Team,Miposhka Team,Miposhka Team,2:1 打满,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-22,dota2-bot-miposh-2026-05-22,Miposhka Team,by Owl Team,by Owl Team,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-22,dota2-aur1-tundra-2026-05-22,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-23,dota2-flc-playti-2026-05-23,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-23,dota2-st-nix-2026-05-23,SoloTeam,SoloTeam,SoloTeam,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-23,dota2-st1-miposh-2026-05-23,Stray Team,Stray Team,Stray Team,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-23,dota2-recren-bot-2026-05-23,Recrent Team,Recrent Team,Recrent Team,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-23,dota2-aur1-flc-2026-05-23,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-23,dota2-st1-st-2026-05-23,Stray Team,SoloTeam,SoloTeam,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Playoffs,2026-05-24,dota2-ts8-aur1-2026-05-24,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,BetBoom Streamers Battle Playoffs,2026-05-24,dota2-bot-st-2026-05-24,by Owl Team,SoloTeam,SoloTeam,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-26,dota2-ramzes-stariy-2026-05-26,Stariy Bog Club,Ramzes Club,Stariy Bog Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-26,dota2-strayc-rostik-2026-05-26,Stray Club,Stray Club,Stray Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-26,dota2-byowlc-tpabom-2026-05-26,TPaBoMaH Club,TPaBoMaH Club,TPaBoMaH Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-27,dota2-daxakc-voodoo-2026-05-27,VooDooSh Club,Daxak Club,VooDooSh Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-27,dota2-nsclub-byowlc-2026-05-27,by Owl Club,by Owl Club,by Owl Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-28,dota2-stariy-tpabom-2026-05-28,TPaBoMaH Club,TPaBoMaH Club,TPaBoMaH Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-28,dota2-nsclub-ramzes-2026-05-28,Ramzes Club,NS Club,Ramzes Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-29,dota2-ramzes-tpabom-2026-05-29,Ramzes Club,Ramzes Club,Ramzes Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-29,dota2-strayc-voodoo-2026-05-29,Stray Club,VooDooSh Club,VooDooSh Club,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Open Qualifier Playoffs,2026-05-30,dota2-unknow-f9team-2026-05-30,F9 Team,F9 Team,F9 Team,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Open Qualifier Playoffs,2026-05-30,dota2-g-nemiga-2026-05-30,Team G,Team G,Team G,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Open Qualifier Playoffs,2026-05-30,dota2-yes-tm6-2026-05-30,Yellow Submarine,Two Move,Two Move,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Open Qualifier Playoffs,2026-05-30,dota2-balu-fla-2026-05-30,Flame Team,Flame Team,Flame Team,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Open Qualifier Playoffs,2026-05-30,dota2-yg-mental-2026-05-30,Mentality Monster,Mentality Monster,Mentality Monster,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Last Chance Qualifier,2026-05-30,dota2-ts8-og-2026-05-30,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Last Chance Qualifier,2026-05-30,dota2-aur1-tundra-2026-05-30,Tundra Esports,Aurora,Aurora,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup South America Open Qualifier Playoffs,2026-05-30,dota2-amaru-krd-2026-05-30,Amaru Gaming,Amaru Gaming,Amaru Gaming,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup South America Open Qualifier Playoffs,2026-05-30,dota2-nem-newgro-2026-05-30,Team Nemesis,Team Nemesis,Team Nemesis,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup South America Open Qualifier Playoffs,2026-05-30,dota2-giordo-tdk-2026-05-30,TeamDk,TeamDk,TeamDk,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-30,dota2-strayc-daxakc-2026-05-30,Daxak Club,Stray Club,Daxak Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-30,dota2-nsclub-stariy-2026-05-30,NS Club,Stariy Bog Club,NS Club,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup North America Open Qualifier 1 Playoffs,2026-05-30,dota2-ts-blackc-2026-05-30,Team Slayers,Team Slayers,Team Slayers,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Last Chance Qualifier,2026-05-30,dota2-ts8-ty-2026-05-30,Team Yandex,Team Yandex,Team Yandex,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Last Chance Qualifier,2026-05-30,dota2-liquid-aur1-2026-05-30,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-lgd-balu-2026-05-31,LGD Gaming,LGD Gaming,LGD Gaming,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-z10-f9team-2026-05-31,Zero Tenacity,Zero Tenacity,Zero Tenacity,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-navi-fla-2026-05-31,Flame Team,Natus Vincere,Natus Vincere,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-lynx-pipsqu-2026-05-31,ex-Pipsqueak+4,ex-Pipsqueak+4,ex-Pipsqueak+4,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-31,dota2-rostik-daxakc-2026-05-31,Rostikfacekid Club,Rostikfacekid Club,Rostikfacekid Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-05-31,dota2-nsclub-tpabom-2026-05-31,TPaBoMaH Club,TPaBoMaH Club,TPaBoMaH Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-31,dota2-rostik1-voodoo-2026-05-31,Rostik999 Club,Rostik999 Club,Rostik999 Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-05-31,dota2-rostik1-rostik-2026-05-31,Rostikfacekid Club,Rostik999 Club,Rostikfacekid Club,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-lgd-pi-2026-05-31,LGD Gaming,LGD Gaming,LGD Gaming,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-01,dota2-balu-lynx-2026-06-01,Team Lynx,Team Lynx,Team Lynx,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-05-31,dota2-z10-navi-2026-05-31,Natus Vincere,Natus Vincere,Natus Vincere,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-01,dota2-f9team-fla-2026-06-01,Flame Team,Flame Team,Flame Team,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-02,dota2-lgd-navi-2026-06-02,LGD Gaming,Natus Vincere,LGD Gaming,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-06-01,dota2-byowlc-ramzes-2026-06-01,by Owl Club,Ramzes Club,Ramzes Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Group B,2026-06-01,dota2-rostik-voodoo-2026-06-01,Rostikfacekid Club,Rostikfacekid Club,Rostikfacekid Club,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-enjoy-tm6-2026-06-01,Two Move,Two Move,Two Move,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-re-modus-2026-06-01,MODUS,MODUS,MODUS,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-l1ga-ic-2026-06-01,L1ga Team,L1ga Team,L1ga Team,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-poorra-g-2026-06-01,Team G,Poor Rangers,Poor Rangers,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-01,dota2-cha-amaru-2026-06-01,Amaru Gaming,Chandogs,Chandogs,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-01,dota2-eb-tdk-2026-06-01,Estar Backs,TeamDk,Estar Backs,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-01,dota2-pi-fla-2026-06-01, Pipsqueak+4, Pipsqueak+4, Pipsqueak+4,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-01,dota2-z10-lynx-2026-06-01,Zero Tenacity,Team Lynx,Team Lynx,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-enjoy-re-2026-06-01,Rune Eaters,Enjoy,Enjoy,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-02,dota2-tm6-modus-2026-06-02,Two Move,Two Move,Two Move,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-01,dota2-ic-g-2026-06-01,Inner Circle,Inner Circle,Inner Circle,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-01,dota2-pi-lynx-2026-06-01, Pipsqueak+4, Pipsqueak+4, Pipsqueak+4,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-02,dota2-l1ga-poorra-2026-06-02,Poor Rangers,Poor Rangers,Poor Rangers,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-02,dota2-tdk-amaru-2026-06-02,Amaru Gaming,Amaru Gaming,Amaru Gaming,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup MESWA Closed Qualifier Playoffs,2026-06-02,dota2-ngx-ko-2026-06-02,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Group A,2026-06-02,dota2-nsclub-stariy-2026-06-02,NS Club,Stariy Bog Club,Stariy Bog Club,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup MESWA Closed Qualifier Playoffs,2026-06-02,dota2-ngx-sifr-2026-06-02,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup MESWA Closed Qualifier Playoffs,2026-06-02,dota2-ko-ag5-2026-06-02,KO,KO,KO,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Western Europe Closed Qualifier Playoffs,2026-06-02,dota2-pi-navi-2026-06-02, Pipsqueak+4,Natus Vincere, Pipsqueak+4,2:1 打满,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-04,dota2-flc-liquid-2026-06-04,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-04,dota2-aur1-ty-2026-06-04,Team Yandex,Team Yandex,Team Yandex,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-03,dota2-glyph-carst-2026-06-03,Carstensz,GLYPH,GLYPH,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-03,dota2-rnx-grind-2026-06-03,REKONIX,REKONIX,REKONIX,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-03,dota2-enjoy-l1ga-2026-06-03,L1ga Team,Enjoy,L1ga Team,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Eastern Europe Closed Qualifier Playoffs,2026-06-03,dota2-ic-modus-2026-06-03,Inner Circle,MODUS,Inner Circle,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-02,dota2-nem-amaru-2026-06-02,Team Nemesis,Team Nemesis,Team Nemesis,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-02,dota2-eb-hkr-2026-06-02,Estar Backs,Hokori,Estar Backs,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-02,dota2-redhot-nem-2026-06-02,Team Nemesis,Team Nemesis,Team Nemesis,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-03,dota2-dfam-xctn-2026-06-03,Execration,Execration,Execration,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-03,dota2-byowlc-voodoo-2026-06-03,VooDooSh Club,by Owl Club,VooDooSh Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-03,dota2-rostik1-stariy-2026-06-03,Stariy Bog Club,Rostik999 Club,Rostik999 Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-04,dota2-ramzes-daxakc-2026-06-04,Ramzes Club,Ramzes Club,Ramzes Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-04,dota2-rostik-tpabom-2026-06-04,TPaBoMaH Club,TPaBoMaH Club,TPaBoMaH Club,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup South America Closed Qualifier Playoffs,2026-06-03,dota2-hkr-nem-2026-06-03,Team Nemesis,Team Nemesis,Team Nemesis,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-03,dota2-rnx-glyph-2026-06-03,GLYPH,REKONIX,GLYPH,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-04,dota2-grind-carst-2026-06-04,Grind Back,Carstensz,Carstensz,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-03,dota2-xctn-db2-2026-06-03,Execration,Execration,Execration,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-04,dota2-glyph-xctn-2026-06-04,Execration,GLYPH,GLYPH,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-04,dota2-dfam-mental-2026-06-04,Mentality Monster,Mentality Monster,Mentality Monster,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-04,dota2-rnx-mental-2026-06-04,REKONIX,Mentality Monster,REKONIX,2:1 打满,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-04,dota2-carst-rnx-2026-06-04,REKONIX,REKONIX,REKONIX,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-04,dota2-lgd-ty-2026-06-04,Team Yandex,LGD Gaming,Team Yandex,2:1 打满,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-05,dota2-flc-bb4-2026-06-05,BetBoom Team,BetBoom Team,BetBoom Team,2:0 横扫,否（无赛前价存档）
DOTA,Esports World Cup Southeast Asia Closed Qualifier Playoffs,2026-06-05,dota2-xctn-rnx-2026-06-05,REKONIX,REKONIX,REKONIX,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-05,dota2-lgd-liquid-2026-06-05,LGD Gaming,LGD Gaming,LGD Gaming,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-05,dota2-daxakc-rostik1-2026-06-05,Rostik999 Club,Rostik999 Club,Rostik999 Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-05,dota2-rostik-voodoo-2026-06-05,VooDooSh Club,Rostikfacekid Club,VooDooSh Club,2:1 打满,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-06,dota2-ramzes-tpabom-2026-06-06,TPaBoMaH Club,Ramzes Club,Ramzes Club,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-05,dota2-z10-gtime-2026-06-05,Zero Tenacity,Zero Tenacity,Zero Tenacity,2:0 横扫,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-05,dota2-flc-aur1-2026-06-05,Team Falcons,Aurora,Aurora,2:1 打满,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-06,dota2-ty-bb4-2026-06-06,BetBoom Team,Team Yandex,Team Yandex,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group B,2026-06-05,dota2-ill-spirit1-2026-06-05,Ilbirs eSports,Spirit Academy,Ilbirs eSports,2:1 打满,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-06,dota2-aur1-lgd-2026-06-06,Aurora,LGD Gaming,LGD Gaming,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-06,dota2-z10-balu-2026-06-06,Zero Tenacity,Zero Tenacity,Zero Tenacity,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-06-06,dota2-4iki-ill-2026-06-06,4ikibamboni,4ikibamboni,4ikibamboni,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-06,dota2-hive1-z10-2026-06-06,Zero Tenacity,Zero Tenacity,Zero Tenacity,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-06,dota2-gtime-sb5-2026-06-06,summer bear,summer bear,summer bear,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-06,dota2-rostik1-voodoo-2026-06-06,VooDooSh Club,VooDooSh Club,VooDooSh Club,2:0 横扫,否（无赛前价存档）
DOTA,Winline Star Series Playoffs,2026-06-07,dota2-voodoo-tpabom-2026-06-07,VooDooSh Club,TPaBoMaH Club,VooDooSh Club,2:1 打满,否（无赛前价存档）
DOTA,BLAST Slam Playoffs,2026-06-07,dota2-bb4-lgd-2026-06-07,LGD Gaming,BetBoom Team,LGD Gaming,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-07,dota2-sb5-vpp-2026-06-07,summer bear,VP.Prodigy,VP.Prodigy,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-08,dota2-vpp-balu-2026-06-08,VP.Prodigy,VP.Prodigy,VP.Prodigy,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-08,dota2-vpp-z10-2026-06-08,VP.Prodigy,Zero Tenacity,Zero Tenacity,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-08,dota2-z10-sb5-2026-06-08,Zero Tenacity,Zero Tenacity,Zero Tenacity,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-06-08,dota2-4iki-nande4-2026-06-08,Nande+4,4ikibamboni,4ikibamboni,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group B,2026-06-13,dota2-ill-pr1-2026-06-13,Ilbirs eSports,Power Rangers,Ilbirs eSports,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-06-13,dota2-balu-sb5-2026-06-13,summer bear,BALU,BALU,2:1 打满,否（无赛前价存档）
DOTA,The International Europe Open Qualifier 1 Playoffs,2026-06-10,dota2-re-nemiga-2026-06-10,Rune Eaters,Rune Eaters,Rune Eaters,2:0 横扫,否（无赛前价存档）
DOTA,The International Europe Open Qualifier 1 Playoffs,2026-06-10,dota2-lvlup1-yes-2026-06-10,Yellow Submarine,Level UP,Yellow Submarine,2:1 打满,否（无赛前价存档）
DOTA,The International Europe Open Qualifier 1 Playoffs,2026-06-10,dota2-vpp-modus-2026-06-10,VP.Prodigy,VP.Prodigy,VP.Prodigy,2:0 横扫,否（无赛前价存档）
DOTA,The International Europe Open Qualifier 1 Playoffs,2026-06-10,dota2-l1ga-z10-2026-06-10,L1ga Team,Zero Tenacity,L1ga Team,2:1 打满,否（无赛前价存档）
DOTA,The International Southeast Asia Open Qualifier 1 Playoffs,2026-06-10,dota2-yg-iac-2026-06-10,Yangon Galacticos,Yangon Galacticos,Yangon Galacticos,2:0 横扫,否（无赛前价存档）
